2026-04-23 14:48:59 | INFO     | photo_segregator | 
[8/13] UMAP dimensionality reduction...
2026-04-23 14:49:04 | INFO     | photo_segregator.dimensionality_reduction | Fitting UMAP: 512d → 28d (n_neighbors=15, min_dist=0.0, metric=cosine)
2026-04-23 14:49:10 | ERROR    | photo_segregator.dimensionality_reduction | UMAP failed: Cannot use scipy.linalg.eigh for sparse A with k >= N. Use scipy.linalg.eigh(A.toarray()) or reduce k.. Returning original embeddings.
2026-04-23 14:49:10 | INFO     | photo_segregator | 
[9/13] Computing adaptive thresholds...
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold | Computing adaptive thresholds from 29 embeddings...
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold | === Adaptive Threshold Report ===
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |   Distance statistics:
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     mean: 0.9083
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     std: 0.2059
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     median: 0.9616
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     min: 0.0488
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     max: 1.1197
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     p5: 0.2419
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     p25: 0.8752
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     p50: 0.9616
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     p75: 1.0234
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     p95: 1.0810
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     num_pairs: 406
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |   Computed thresholds:
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     merge_threshold: 0.5000
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     split_threshold: 1.0234
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     review_threshold: 0.7000
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold |     reassign_threshold: 1.0000
2026-04-23 14:49:10 | INFO     | photo_segregator.adaptive_threshold | =================================
2026-04-23 14:49:10 | INFO     | photo_segregator | 
[10/13] Clustering with HDBSCAN...
2026-04-23 14:49:10 | INFO     | photo_segregator.clustering | Clustering 29 embeddings with HDBSCAN
2026-04-23 14:49:10 | INFO     | photo_segregator.clustering | HDBSCAN result: 6 clusters, 8/29 noise points (27.6%)
2026-04-23 14:49:10 | INFO     | photo_segregator | Clustering: 6 clusters, 8 noise
2026-04-23 14:49:10 | INFO     | photo_segregator | 
[11/13] Refining clusters...
2026-04-23 14:49:10 | INFO     | photo_segregator.cluster_refinement | Starting cluster refinement on 29 faces
2026-04-23 14:49:10 | INFO     | photo_segregator.cluster_refinement |   Noise reassignment: 8 → 0 noise points
2026-04-23 14:49:10 | INFO     | photo_segregator.cluster_refinement | Refinement complete: 6 clusters, 16 faces in review queue
2026-04-23 14:49:10 | INFO     | photo_segregator.embedding_cache | Saved 29 embeddings to output\_metadata\embeddings.npz
2026-04-23 14:49:10 | INFO     | photo_segregator.embedding_cache | Saved metadata for 29 faces to output\_metadata\face_metadata.json
2026-04-23 14:49:10 | INFO     | photo_segregator | 
[12/13] Generating confidence heatmap...
2026-04-23 14:49:13 | INFO     | photo_segregator.confidence_heatmap | Confidence heatmap saved to output\_metadata\cluster_heatmap.png
2026-04-23 14:49:13 | INFO     | photo_segregator | 
[13/13] Writing output folders...
2026-04-23 14:49:13 | INFO     | photo_segregator.folder_writer | Writing output to output
2026-04-23 14:49:13 | INFO     | photo_segregator.folder_writer | Cluster report saved to output\_metadata
2026-04-23 14:49:13 | INFO     | photo_segregator.folder_writer | Output written: 6 person folders, 16 review items
2026-04-23 14:49:13 | INFO     | photo_segregator | 
Results: 6 person folders, 16 review items, 0 unassigned
2026-04-23 14:49:13 | INFO     | photo_segregator | 
============================================================
2026-04-23 14:49:13 | INFO     | photo_segregator |   Pipeline complete in 55.8s
2026-04-23 14:49:13 | INFO     | photo_segregator | ============================================================
2026-04-23 14:58:39 | INFO     | photo_segregator.review_cli | Saved 16 corrections to output\_metadata\corrections.json
2026-04-23 14:58:39 | INFO     | photo_segregator.embedding_cache | Loaded 29 cached embeddings
2026-04-23 14:58:39 | INFO     | photo_segregator.embedding_cache | Loaded metadata for 29 faces
2026-04-23 14:58:39 | INFO     | photo_segregator.semi_supervised | Learned from corrections: 11 identities → 11 total known
